,Ignorant,Spreader,Stifler
0,997,3,0
1,900,2,98
2,821,2,177
3,738,1,261
4,658,1,341
5,595,1,404
6,530,1,469
7,470,2,528
8,413,3,584
9,372,3,625
10,338,3,659
11,300,3,697
12,254,3,743
13,229,3,768
14,200,3,797
15,181,3,816
16,161,2,837
17,141,2,857
18,126,2,872
19,111,2,887
20,100,1,899
21,89,1,910
22,79,1,920
23,72,1,927
24,65,1,934
25,59,1,940
26,51,1,948
27,47,1,952
28,44,1,955
29,38,1,961
30,36,1,963
31,31,1,968
32,27,1,972
33,22,1,977
34,21,1,978
35,17,0,983
36,14,0,986
37,13,0,987
38,12,0,988
39,10,0,990
40,8,0,992
41,6,0,994
42,6,0,994
43,5,0,995
44,5,0,995
45,5,0,995
46,5,0,995
47,5,0,995
48,5,0,995
49,5,0,995
50,5,0,995
